FID,segmentid,street,boro,facilitycl,fromstreet,tostreet,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
165,192694,BRUSH AV,2,II,BRUCKNER BLVD,WENNER PL,ON,II,2007-11-01T00:00:00,2007-11-01T00:00:00, ,2,2,Standard,Standard
166,232217,SHORE PKWY GREENWAY,4,I,SHORE PKWY,84 ST,OFF,I,1941-01-01T00:00:00,1941-01-01T00:00:00, ,2,2,Greenway,Greenway
167,313782,E 119 ST,1,II,PLEASANT AV,LEXINGTON AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,L,1, ,Standard
168,167930,MOTHER GASTON BOULEVARD,3,III,LIBERTY AV,LINDEN BLVD,ON,III,2013-06-07T00:00:00,2013-06-07T00:00:00, ,2,2,Sharrows,Sharrows
169,22790,3 AV,3,II,DEAN ST,15 ST,ON,II,2005-12-01T00:00:00,2005-12-01T00:00:00, ,R,1,Standard, 
170,18786,BATH AV,3,II,BAY 19 ST,BAY 35 ST,ON,II,2018-10-09T00:00:00,2018-10-09T00:00:00, ,2,2,Standard,Standard
171,33116,12 ST,1,I,5 AV,AVE C,ON,I,2018-12-26T00:00:00,2018-12-26T00:00:00, ,R,1,Protected Path, 
172,274629,WEST DR,3,I,PP GAP ENTRANCE,W LAKE DR,OFF,I,1980-07-01T00:00:00,2012-06-20T00:00:00,Prospect Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
173,34264,CENTRAL PARK W,1,I,W 62 ST,W 77 ST,ON,I,2001-11-01,2019-08-19,Previously part of bikeid 180,R,1,Protected Path, 
174,74192,69 ST,4,III,HULL AVE,CALAMUS AVE,ON,III,2016-11-25T00:00:00,2016-11-25T00:00:00, ,2,2,Sharrows,Sharrows
175,238029,MOSHOLU PKWY GREENWAY,2,I,BRONX PK E,VAN CORTLANDT PK S,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
176,117507,E HAMPTON BLVD,4,I,58 RD,231 ST,ON,I,2002-06-01T00:00:00,2017-12-20T00:00:00, ,2,2,Protected Path,Protected Path
177,238475,FT WASHINGTON PARK BICYCLE TRAIL,1,I,W 145 ST,W 181 ST,OFF,I,1999-07-01T00:00:00,1999-07-01T00:00:00, ,2,2,Greenway,Greenway
178,236630,PELHAM PKWY GREENWAY,2,I,ALLERTON AV,SHORE RD GREENWAY,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
179,157609,EMMONS AV,3,III,SHORE BLVD,KNAPP ST,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,R,1,Signed Route, 
180,237666,BRONX RIVER GREENWAY,2,I,WEBSTER AV,BX-YONKERS BNDY,OFF,I,2007-12-01T00:00:00,2007-12-01T00:00:00, ,2,2,Greenway,Greenway
181,297510,HARLEM RIVER GREENWAY,2,I,W 176 ST,EXTERIOR ST,OFF,I,2014-04-01T00:00:00,2014-04-01T00:00:00, ,2,2,Greenway,Greenway
182,155783,WOODHAVEN BLVD,4,I,QUEENS BLVD S,QUEENS BLVD N,ON,I,2016-12-13T00:00:00,2016-12-13T00:00:00, ,2,2,Protected Path,Protected Path
183,17648,3 AV,3,II,68 ST,66 ST,ON,II,2001-11-01T00:00:00,2001-11-01T00:00:00, ,2,2,Standard,Standard
184,277740,NEW DORP LN,5,III,MILL RD,FDR BOARDWALK,ON,III,2018-12-24T00:00:00,2018-12-24T00:00:00, ,2,2,Sharrows,Sharrows
185,164414,DELANCEY ST,1,III,MANGIN ST,CLINTON ST,ON,III,2006-10-01T00:00:00,2006-10-01T00:00:00, ,R,1,Sharrows, 
186,289897,CROPSEY AV,3,II,14 AV,7 AV,ON,II,2004-06-01T00:00:00,2004-06-01T00:00:00, ,2,2,Standard,Standard
187,69452,1 AV,1,I,E 124 ST,E 125 ST,ON,I,2013-10-18T00:00:00,2016-10-06T00:00:00, ,2,2,Protected Path,Protected Path
188,21751,VAN BRUNT ST,3,III,BEARD ST,SUMMIT ST,ON,III,2014-04-30T00:00:00,2014-04-30T00:00:00, ,2,2,Sharrows,Sharrows
189,37768,E 90 ST,1,II,EAST END AV,5 AV,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,R,1,Standard, 
190,129947,20 AVE,4,I,SHORE BLVD,35 ST,ON,I,2016-11-18T00:00:00,2016-11-18T00:00:00, ,2,2,Protected Path,Protected Path
191,24765,SURF AV,3,III,OCEAN PKWY,W 17 ST,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,2,2,Signed Route,Signed Route
192,218053,E 89 ST,1,II,EAST END AV,1 AV,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,L,1, ,Standard
193,18886,BATH AV,3,III,BAY 35 ST,27 AV,ON,III,2018-10-09T00:00:00,2018-10-09T00:00:00, ,2,2,Sharrows,Sharrows
194,229834,WILLOWBROOK PARK GREENWAY,5,I,RICHMOND AV,VICTORY BLVD,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00, ,2,2,Greenway,Greenway
195,253490,E 138 ST,2,II,GRAND CONCOURSE,GRAND CONCOURSE,ON,II,2018-05-04T00:00:00,2018-05-04T00:00:00, ,2,2,Standard,Standard
196,146001,ROCKAWAY PKWY,3,II,EAST NEW YORK AV,DITMAS AV,ON,II,2010-10-01T00:00:00,2010-10-01T00:00:00, ,L,1, ,Standard
197,78301,E 169 ST,2,II,FRANKLIN AV,BOSTON RD,ON,"III,II",2007-07-01T00:00:00,2007-07-01T00:00:00, ,2,2,Sharrows,Standard
198,32906,2 AV,1,I,E 14 ST,E 2 ST,ON,I,1998-07-01T00:00:00,2010-10-01T00:00:00, ,L,1, ,Protected Path
199,147994,FOOD CENTER DR,2,I,HALLECK ST,FARRAGUT ST,OFF,I,2016-05-01T00:00:00,2016-05-01T00:00:00, ,2,2,Greenway,Greenway
200,297272,WOLFE'S POND PARK TRAIL,5,I,IRVINGTON ST,CHISHOLM ST,OFF,I,2008-07-01T00:00:00,2008-07-01T00:00:00, ,2,2,Dirt Trail,Dirt Trail
201,38605,FRED DOUGLASS BLVD,1,II,FRED DOUGLASS CIR,ST NICHOLAS AV,ON,II,2001-11-01T00:00:00,2001-11-01T00:00:00, ,R,1,Standard, 
202,188659,QUEENS BLVD,4,I,YELLOWSTONE BLVD,ELIOT AVE,ON,I,2017-12-11T00:00:00,2017-12-11T00:00:00, ,L,1, ,Protected Path
203,162273,BERGEN ST,3,II,COURT ST,RALPH AV,ON,II,2003-11-01T00:00:00,2003-11-01T00:00:00, ,L,1, ,Standard
204,314479,E 167 ST,2,III,WALTON AV,GRANT AV,ON,III,2007-07-01T00:00:00,2007-07-01T00:00:00, ,2,2,Sharrows,Sharrows
205,9001308,COLUMBIA ST,3,II,BAY ST,W 9 ST,ON,II,2009-08-01T00:00:00,2009-08-01T00:00:00, ,2,2,Standard,Standard
206,120804,NEW LOTS AVE,3,III,HEGEMAN AV,ATKINS AVENUE,ON,III,2013-11-13T00:00:00,2013-11-13T00:00:00, ,2,2,Sharrows,Sharrows
207,9004397,CENTRAL AV,3,II,MYRTLE AV,DECATUR ST,ON,II,2007-07-01T00:00:00,2007-07-01T00:00:00, ,R,1,Standard, 
208,159102,ADAM C POWELL BLVD,1,III,W 133 ST,W 150 ST,ON,III,2012-11-06T00:00:00,2012-11-06T00:00:00, ,L,1, ,Bike-Friendly Parking
209,22705,SMITH ST,3,II,SCHERMERHORN ST,HAMILTON AV,ON,"II,III",2004-06-01T00:00:00,2008-10-03T00:00:00, ,L,2, ,Sharrows/Standard
210,164769,E 29 ST,1,II,3 AV,MADISON AV,ON,II,2012-06-01T00:00:00,2018-08-31T00:00:00, ,L,1, ,Curbside
211,151034,QUEENS BLVD,4,I,ELIOT AVE,YELLOWSTONE BLVD,ON,I,2017-12-11T00:00:00,2017-12-11T00:00:00, ,R,1,Protected Path, 
212,284159,BEDFORD AV,3,II,EMMONS AV,DIVISION AV,ON,II,1997-08-01T00:00:00,1997-08-01T00:00:00, ,2,2,Standard,Standard
213,33937,BROADWAY,1,II,W 42 ST,W 35 ST,ON,II,1978-07-01T00:00:00,2013-04-23T00:00:00, ,L,1, ,Standard
214,57663,BOARDWALK,4,I,BEACH 126 St,BEACH 39 ST,OFF,I,1970-01-01T00:00:00,2014-01-01T00:00:00,Boardwalk open 6am-10am: Bicycles allowed at all times except Weekends 10am-6pm May-September,2,2,Boardwalk,Boardwalk
215,24148,ALLEN ST,1,I,E HOUSTON ST,CANAL ST,ON,I,2004-06-01T00:00:00,2009-08-01T00:00:00, ,L,1, ,Protected Path
216,22640,UNION ST BR,3,II,BOND ST,NEVINS ST,ON,II,1980-07-01T00:00:00,2013-09-25T00:00:00, ,2,2,Standard,Standard
217,299808,GOVERNORS ISLAND GREENWAY,1,I,GOVERNORS ISLAND GREENWAY,GOVERNORS ISLAND GREENWAY,OFF,I,2013-10-25T00:00:00,2013-10-25T00:00:00, ,2,2,Greenway,Greenway
218,176984,63 RD,4,III,QUEENS BLVD,GRND CNTRL PKWY,ON,III,2012-08-17T00:00:00,2012-08-17T00:00:00, ,R,1,Bike-Friendly Parking, 
219,88685,EAST 222 STREET,2,II,WHITE PLAINS RD,BAYCHESTER AVE,ON,II,2013-07-12T00:00:00,2013-07-12T00:00:00, ,2,2,Standard,Standard
220,190973,SHORE FRONT PKWY,4,I,SHORE FRONT PKWY CONNECTOR,BEACH 74 ST,ON,I,2006-09-01T00:00:00,2017-07-31T00:00:00, ,2,2,Protected Path,Protected Path
221,182050,NORTHERN BLVD,4,I,DOUGLASTON PKWY,223 ST,ON,I,2002-06-01T00:00:00,2017-12-20T00:00:00,was on sidewalk over cross island expwy,2,2,Protected Path,Protected Path
222,148203,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,L,1, ,Standard
223,57284,PARSONS BLVD,4,II,88 AV,84 RD,ON,"II,III",2007-09-01T00:00:00,2007-09-01T00:00:00, ,2,2,Curbside,Sharrows
224,157197,164 ST,4,II,GRND CNTRL PKWY SR N,HOR HARDING EXWY SR N,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,R,1,Curbside, 
225,9009373,FRANKLIN AV,3,II,WALLABOUT ST,FULTON ST,ON,II,2008-08-19T00:00:00,2008-08-19T00:00:00, ,R,1,Standard, 
226,28262,OCEAN AVENUE,3,II,WOODRUFF AVE,CATON AVE,ON,II,2013-06-28T00:00:00,2015-05-01T00:00:00, ,2,2,Standard,Standard
227,129567,104 AV,4,III,227 ST,223 ST,ON,III,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Signed Route,Signed Route
228,191132,E HOUSTON ST,1,II,NORFOLK ST,CHRYSTIE ST,ON,II,2017-06-30T00:00:00,2017-06-30T00:00:00, ,L,1, ,Standard
229,153051,34 AV,4,II,59 ST,113 ST,ON,II,1997-04-01T00:00:00,1997-04-01T00:00:00, ,R,1,Standard, 
230,109298,WEST DR,3,I,PP GAP ENTRANCE,W LAKE DR,OFF,I,1980-07-01T00:00:00,2012-06-20T00:00:00,Prospect Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
231,157702,CROPSEY AVE,3,III,24 AVE,26 AVE,ON,III,2018-07-19T00:00:00,2018-07-19T00:00:00, ,L,1, ,Bike-Friendly Parking
232,54039,BOARDWALK,4,I,BEACH 126 St,BEACH 39 ST,OFF,I,1970-01-01T00:00:00,2014-01-01T00:00:00,Boardwalk open 6am-10am: Bicycles allowed at all times except Weekends 10am-6pm May-September,2,2,Boardwalk,Boardwalk
233,76117,32 AVE,4,II,93 ST,74 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,L,1, ,Standard
234,240772,OCEAN PKWY,3,I,CHURCH AV,E 8 ST,OFF,I,1980-07-01T00:00:00,1980-07-01T00:00:00,Use West Sidewalk,2,2,Sidewalk,Sidewalk
235,145075,CROPSEY AV,3,III,NEPTUNE AV,SHORE PKWY SR N,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,R,1,Signed Route, 
236,44601,GRATTAN ST,3,II,MORGAN AV,VARICK AV,ON,II,2018-11-14T00:00:00,2018-11-14T00:00:00, ,R,1,Standard, 
237,30797,DRIGGS AV,3,II,LEONARD ST,BROADWAY,ON,II,2009-04-01T00:00:00,2009-04-01T00:00:00, ,R,1,Standard, 
238,243091,ADAMS ST,3,III,TILLARY ST,SANDS ST,ON,III,2006-06-01T00:00:00,2017-07-01T00:00:00,downgrade to shared,L,1, ,Sharrows
239,310662,FT WASHINGTON AV,1,II,W 179 ST,MARGARET CORBIN PLZ,ON,"II,III",2001-11-01T00:00:00,2001-11-01T00:00:00, ,2,2,Standard,Sharrows
240,237419,CITY ISLAND AVE,2,II,CITY ISLAND AVE,CITY ISLAND BR,ON,II,2017-10-29T00:00:00,2017-10-29T00:00:00, ,L,1, ,Curbside
241,9006564,NEPTUNE AV,3,II,W 37 ST,BRIGHTON 8 ST,ON,II,2005-08-01T00:00:00,2005-08-01T00:00:00, ,L,1, ,Standard
242,81472,BROADWAY,2,II,W 261,BX-YONKERS BOUNDARY,ON,II,2012-11-01T00:00:00,2018-09-21T00:00:00,Previously part of bikeID663,2,2,Standard,Standard
243,23989,CLINTON ST,3,II,HAMILTON AV,TILLARY ST,ON,II,2003-04-01T00:00:00,2003-04-01T00:00:00, ,L,1, ,Standard
244,9001102,1 AV,1,I,E 96 ST,E 124 ST,ON,I,1981-01-01T00:00:00,2013-10-18T00:00:00, ,R,1,Protected Path, 
245,71605,E 165 ST,2,III,JEROME AV,WALTON AV,ON,III,2015-11-23T00:00:00,2015-11-23T00:00:00, ,2,2,Sharrows,Sharrows
246,37597,EAST DR,1,I,TERRACE DR,CENTRAL PARK N,ON,I,1979-05-01T00:00:00,1979-05-01T00:00:00,Central Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
247,68049,51 ST,4,III,ROOSEVELT AV,43 AV,ON,III,2015-12-01T00:00:00,2015-12-01T00:00:00, ,L,1, ,Sharrows
248,242816,BROOKLYN BR,1,I,PARK ROW,TILLARY ST,ON,I,1966-01-01T00:00:00,1966-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
249,32394,BLEECKER ST,1,II,8 AV,BOWERY,ON,II,2007-11-01T00:00:00,2007-11-01T00:00:00, ,L,1, ,Standard
250,237523,PUGSLEY CREEK GREENWAY,2,I,STEPHENS AV,OLMSTEAD AV,OFF,I,2009-10-01T00:00:00,2009-10-01T00:00:00, ,2,2,Greenway,Greenway
251,88153,LACONIA AVE,2,II,BOSTON RD,E 229 ST,ON,II,2010-06-01T00:00:00,2017-10-06T00:00:00, ,2,2,Standard,Standard
252,9008158,DELANCEY ST N,1,III,MANGIN ST,CLINTON ST,ON,III,2015-09-18T00:00:00,2015-09-18T00:00:00, ,L,1, ,Sharrows
253,145116,ASTORIA PARK S,4,II,SHORE BLVD,21 ST,ON,II,2010-07-01T00:00:00,2010-07-01T00:00:00, ,L,1, ,Standard
254,300422,CENTER DR,1,I,WEST DR,EAST DR,ON,I,1979-05-01T00:00:00,2019-06-27,Autos limited 2012-09-15.  Fully auto-free 2018-06-27,R,1,Greenway, 
255,300128,C P W 106 APPR,1,I,CENTRAL PARK W,WEST DR,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Sidewalk,Sidewalk
256,61715,BEACH CHANNEL DR,4,II,HORTON ST,DICKENS ST,ON,II,2010-07-01T00:00:00,2010-07-01T00:00:00, ,2,2,Curbside,Curbside
257,9004941,BALTIC ST,3,III,HOYT ST,BOND ST,ON,III,2012-12-15T00:00:00,2012-12-15T00:00:00, ,2,2,Sharrows,Sharrows
258,37739,E 78 ST,1,II,CHEROKEE PL,YORK AVE,ON,II,2016-07-15T00:00:00,2016-07-15T00:00:00, ,L,1, ,Standard
259,235747,PULASKI BR,3,I,EAGLE ST,JACKSON AV,ON,I,1954-01-01T00:00:00,2016-04-29T00:00:00,"Bridge, two-way path opened 4/29/2016",2,2,Protected Path,Protected Path
260,156965,UTOPIA PKWY,4,II,CROSS IS PKWY SR S,25 AV,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,L,1, ,Standard
261,111168,C P GRAND ARMY PLZ APPR,1,I,GRAND ARMY PLZ,EAST DR,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
262,67465,VERNON BLVD,4,I,33 RD,HALLETS COVE ESPLANADE,ON,"I,III",2008-07-31T00:00:00,2015-07-10T00:00:00,2013 - two way lane added on west curb. 2015 - jersey barriers added to provide protection,2,3,Protected Path,Sharrows
263,234894,VANDERBILT MOTOR PARKWAY,4,I,WINCHESTER BLVD,HOLLIS HILLS TER,OFF,I,1938-07-01T00:00:00,1938-07-01T00:00:00, ,2,2,Greenway,Greenway
264,172585,QUEENS PLZ N,4,I,QUEENS BLVD,21 ST,OFF,I,2010-10-01T00:00:00,2010-10-01T00:00:00,Cross with Ped Signals,2,2,Greenway,Greenway
265,112610,E 2 ST,1,II,2 AV,1 AV,ON,II,2013-04-11T00:00:00,2013-04-11T00:00:00, ,R,1,Standard, 
266,83525,108 ST,4,III,43 AVE,ROOSEVELT AVE,ON,III,2017-08-28T00:00:00,2017-08-28T00:00:00, ,2,2,Sharrows,Sharrows
267,150034,164 ST,4,II,GRND CNTRL PKWY SR N,HOR HARDING EXWY SR N,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,R,1,Standard, 
268,128826,78 AV,4,III,78 AV,79 PL,ON,III,2000-01-01T00:00:00,2000-01-01T00:00:00, ,2,2,Signed Route,Signed Route
269,22456,3 AV,3,II,DEAN ST,15 ST,ON,II,2004-05-01T00:00:00,2004-05-01T00:00:00, ,R,1,Standard, 
270,9009816,ST ANNS AV,2,III,E 135 ST,E 149 ST,ON,III,2003-05-01T00:00:00,2003-05-01T00:00:00, ,2,2,Sharrows,Sharrows
271,96467,73 AV,4,II,MAIN ST,199 ST,ON,II,1979-07-01T00:00:00,1979-07-01T00:00:00, ,2,2,Standard,Standard
272,168682,CYPRESS HILLS ST,4,II,65 PL,COOPER AVE,ON,II,2000-01-01T00:00:00,2017-12-30T00:00:00, ,R,1,Standard, 
273,242813,BROOKLYN BR,1,I,PARK ROW,TILLARY ST,ON,I,1966-01-01T00:00:00,1966-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
274,9007679,JEWEL AV,4,II,PARK DR E,164 ST,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,L,1, ,Standard
275,303177,RIVERSIDE DR,1,III,BROADWAY,STAFF ST,ON,III,2003-06-01T00:00:00,2003-06-01T00:00:00, ,L,1, ,Signed Route
276,38404,ST CLAIR PL,1,II,HUDSON RIVER GREENWAY,RIVERSIDE DR,ON,II,2017-08-01T00:00:00,2017-08-01T00:00:00, ,L,1, ,Standard
277,241260,ROOSEVELT ISLAND GREENWAY,1,I,ROOSEVELT ISLAND BR,ROOSEVELT ISLAND BR,OFF,I,1987-01-01T00:00:00,1987-01-01T00:00:00, ,2,2,Greenway,Greenway
278,844,HYLAN BLVD,5,II,PAGE AV,POILLON AV,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,2,2,Curbside,Curbside
279,232997,SHORE PKWY GREENWAY,3,I,BRIGHAM ST,KINGS-QN CNTY BNDY,OFF,I,1941-01-01T00:00:00,1941-01-01T00:00:00, ,2,2,Greenway,Greenway
280,31104,BORINQUEN PL,3,I,S 2 ST,HOOPER ST,ON,I,2009-04-01T00:00:00,2018-12-24T00:00:00, ,2,2,Protected Path,Protected Path
281,30273,KENT AV,3,I,N 14 ST,CLYMER ST,ON,I,2008-11-14T00:00:00,2009-08-01T00:00:00, ,2,2,Protected Path,Protected Path
282,45371,CORNELIA ST,3,II,KNICKERBOCKER AVE,WYCKOFF AVE,ON,II,2016-06-28T00:00:00,2016-06-28T00:00:00, ,R,1,Standard, 
283,67948,SKILLMAN AV,4,I,56 ST,48 ST,ON,I,2009-11-01T00:00:00,2018-10-25T00:00:00, ,L,1, ,Protected Path
284,242332,Vernon Bl,4,II,VERNON BL,8 ST,ON,"II,III",2008-07-01T00:00:00,2018-06-20T00:00:00,Previously part of bikeID1896,2,2,Standard,Sharrows
285,20698,7 AV,3,III,42 ST,65 ST,ON,III,2001-11-01T00:00:00,2016-04-01T00:00:00,downgraded to shared 2016,2,2,Sharrows,Sharrows
286,15557,ST PAULS AVE,5,II,VAN DUZER ST,CEBRA AVE,ON,II,2017-09-29T00:00:00,2017-09-29T00:00:00, ,R,1,Buffered Conventional, 
287,45976,PAERDEGAT AVENUE NORTH,3,I,SEAVIEW AVE,PAERDEGAT 1 ST,ON,I,2014-06-24T00:00:00,2014-06-24T00:00:00, ,2,2,Protected Path,Protected Path
288,37954,DUKE ELLINGTON CR,1,II,E 110 ST,W 110 ST,ON,II,2018-09-21T00:00:00,2018-09-21T00:00:00, ,R,1,Curbside, 
289,130743,20 AVE,4,I,37 ST,36 ST,ON,I,2016-06-01T00:00:00,2016-06-01T00:00:00, ,2,2,Protected Path,Protected Path
290,81095,BROADWAY,2,I,VAN CORTLANDT PARK SERVICE RD,LAKEVIEW PL,ON,I,2012-11-01T00:00:00,2012-11-01T00:00:00,also modified 11/1/2012,2,2,Protected Path,Protected Path
291,33921,BROADWAY,1,II,W 42 ST,W 35 ST,ON,II,1978-07-01T00:00:00,2013-04-23T00:00:00, ,L,1, ,Standard
292,35532,PROVOST ST,3,III,PAIDGE AV,GREENPOINT AV,ON,III,2008-07-28T00:00:00,2008-07-28T00:00:00, ,2,2,Sharrows,Sharrows
293,236726,PELHAM PKWY GREENWAY,2,I,ALLERTON AV,SHORE RD GREENWAY,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
294,158189,4 AV,3,I,15 ST,1 ST,ON,I,2013-10-11T00:00:00,2019-07-09,previously part of bike ID 934,L,1, ,Protected Path
295,112604,BEDFORD AV,3,II,EMMONS AV,DIVISION AV,ON,II,1997-08-01T00:00:00,1997-08-01T00:00:00, ,2,2,Standard,Standard
296,240883,W 18 ST,1,II,11 AV,10 AV,ON,II,2007-04-01T00:00:00,2007-04-01T00:00:00, ,L,1, ,Standard
297,155750,MAIN ST,4,III,HOOVER AV,77 RD,ON,III,2000-01-01T00:00:00,2010-06-01T00:00:00, ,L,1, ,Sharrows
298,60301,LINDEN BLVD,4,III,157 ST,NEWBURG ST,ON,III,2008-05-01T00:00:00,2008-05-01T00:00:00, ,2,2,Sharrows,Sharrows
299,81165,BROADWAY,2,I,W 256 ST,W 261 ST,ON,I,2012-11-01T00:00:00,2018-09-21T00:00:00,Previously part of bikeID663,2,2,Protected Path,Protected Path
300,236151,VAN CORTLANDT PARK GREENWAY,2,I,VAN CORTLANDT PK S,BROADWAY,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00, ,2,2,Greenway,Greenway
301,148810,MOTHER GASTON BOULEVARD,3,II,LIBERTY AV,LINDEN BLVD,ON,II,2013-06-07T00:00:00,2013-06-07T00:00:00, ,2,2,Standard,Standard
302,257010,BROOKLYN BR,1,I,PARK ROW,TILLARY ST,ON,I,1966-01-01T00:00:00,1966-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
303,36533,1 AV,1,I,E 72 ST,E 61 ST,ON,I,2012-06-11T00:00:00,2012-06-11T00:00:00, ,R,1,Protected Path, 
304,71412,JEROME AV,2,III,E 162 ST,E 167 ST,ON,III,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Sharrows,Sharrows
305,232211,SHORE PKWY GREENWAY,4,I,SHORE PKWY,84 ST,OFF,I,1941-01-01T00:00:00,1941-01-01T00:00:00, ,2,2,Greenway,Greenway
306,150667,BAY ST,5,III,RICHMOND TER,UNNAMED ST,ON,III,1980-07-01T00:00:00,2009-12-15T00:00:00, ,L,1, ,Sharrows
307,9002751,THIRD AV,2,II,BOSTON RD,CROSS BRONX EXPY,ON,II,2018-11-15T00:00:00,2018-11-15T00:00:00, ,2,2,Standard,Standard
308,235022,LAURELTON GREENWAY,4,I,147 AV,MERRICK BLVD,OFF,I,2006-09-01T00:00:00,2006-09-01T00:00:00, ,2,2,Greenway,Greenway
309,155487,SEAVIEW AV,5,II,MASON AV,OCEANSIDE AV,ON,II,2018-12-24T00:00:00,2018-12-24T00:00:00, ,R,1,Standard, 
310,9003867,128 ST,1,II,5 AVE,3 AVE BR APPROACH,ON,II,2017-12-18T00:00:00,2017-12-18T00:00:00, ,R,1,Standard, 
311,179024,PARSONS BLVD,4,II,GRAND CENTRAL PKWY N,GRAND CENTRAL PKWY S,ON,II,2017-12-15T00:00:00,2017-12-15T00:00:00, ,2,2,Curbside,Curbside
312,193553,DR M L KING JR BLVD,2,III,W FORDHAM RD,W TREMONT AV,ON,III,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Sharrows,Sharrows
313,156471,11 St,4,II,47 Av,45 Av,ON,II,2014-04-21T00:00:00,2018-09-21T00:00:00,Previously part of bikeID1559,L,1, ,Standard
314,297758,MONTAGUE ST,3,II,FURMAN ST,BROOKLYN BRIDGE PARK GREENWAY,ON,II,2010-08-01T00:00:00,2010-08-01T00:00:00, ,R,1,Curbside, 
315,18945,NEPTUNE AV,3,II,W 37 ST,BRIGHTON 8 ST,ON,II,2005-08-01T00:00:00,2005-08-01T00:00:00, ,2,2,Standard,Standard
316,240806,W HOUSTON ST,1,II,HUDSON ST,WEST ST,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,R,1,Standard, 
317,107178,PAUL AV,2,III,W 205 ST,W MOSHOLU PKWY S,ON,III,2002-06-01T00:00:00,2018-10-29T00:00:00,previously signed route,2,2,Sharrows,Sharrows
318,9000900,E 105 ST,1,II,FDR SERVICE RD,1 AV,ON,II,2018-07-01T00:00:00,2018-07-01T00:00:00, ,L,1, ,Standard
319,17278,7 AV,3,II,CROPSEY AV,FT HAMILTON PKWY,ON,II,2009-07-01T00:00:00,2009-07-01T00:00:00, ,L,1, ,Standard
320,49172,CENTRAL AV,4,III,MYRTLE AV,73 PL,ON,III,2015-11-01T00:00:00,2015-11-01T00:00:00, ,2,2,Sharrows,Sharrows
321,36382,2 AVE,1,I,E 64 ST,E 59 ST,ON,I,2017-12-01T00:00:00,2019-06-11,off-peak parking-protected,L,1, ,Protected Path
322,162223,3 ST,3,II,4 AV,PROSPECT PARK W,ON,II,1980-07-01T00:00:00,1980-07-01T00:00:00, ,R,1,Standard, 
323,32687,RIVINGTON ST,1,II,ATTORNEY ST,FORSYTH ST,ON,II,2010-05-01T00:00:00,2010-05-01T00:00:00, ,L,1, ,Curbside
324,67324,34 AV,4,III,VERNON BLVD,12 ST,ON,III,2009-05-01T00:00:00,2009-05-01T00:00:00, ,2,2,Sharrows,Sharrows
325,115264,WEST DR,1,I,CENTRAL PARK N,TERRACE DR,ON,I,1979-05-01T00:00:00,2012-09-15T00:00:00,Central Park Auto-Free Hours: Closed to Cars,L,1, ,Greenway
326,146989,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,R,1,Standard, 
327,9006145,1 AV,1,I,E 96 ST,E 124 ST,ON,I,1981-01-01T00:00:00,2013-10-18T00:00:00, ,R,1,Protected Path, 
328,271371,1 AV,1,I,E 1 ST,E 34 ST,ON,I,2010-10-01T00:00:00,2010-10-01T00:00:00, ,R,1,Protected Path, 
329,24541,MONTGOMERY ST,1,I,MADISON ST,HENRY ST,ON,"II,I",2007-06-01,2019-11-12,PREVIOUSLY IN BIKE ID 431,2,2,Standard,Protected Path
